@relation 'fullCSV.arff_fullCSV.arff-weka.filters.unsupervised.attribute.Remove-V-R20,21,22_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.RemoveWithValues-S14.0-C4-Lfirst-last-V'

@attribute DayOfWeek numeric
@attribute TimeOfDay numeric
@attribute HourSinceStart numeric
@attribute DaySinceStart numeric
@attribute ScaledTime numeric
@attribute IP_Address string
@attribute IP_AsRank numeric
@attribute IP_AsScaledRank numeric
@attribute IP_AsAttackCount numeric
@attribute IP_AsRandomInt numeric
@attribute Port numeric
@attribute PortNormalised numeric
@attribute Uname string
@attribute UName_AsRank numeric
@attribute Uname_AsScaledRank numeric
@attribute UName_AsCount numeric
@attribute UName_AsRandomInt numeric
@attribute Country string
@attribute City string
@attribute Loc_X numeric
@attribute Loc_Y numeric
@attribute Loc_Z numeric
@attribute 0.743Loc_Y+0.643Loc_X-0.186Loc_Z numeric
@attribute 0.857Loc_Z+0.476Loc_X-0.198Loc_Y numeric
@attribute '-0.639Loc_Y+0.6  Loc_X-0.481Loc_Z' numeric

@data
2,15,0,0,0,116.31.116.38,0,0,1,0.780488,21416,0.316259,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,16,0,0,0.000085,112.74.63.26,0.072637,0.914393,0.003908,0.079642,50482,0.767153,ubuntu,0.003951,0.819385,0.003765,0.399704,China,Hangzhou,0.654408,0.653018,0.051239,0.776394,0.214195,0.670021
2,16,0,0,0.000091,59.45.175.32,0.016915,0.86682,0.055754,0.513688,46217,0.700991,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000102,59.45.175.32,0.016915,0.86682,0.055754,0.513688,50070,0.760762,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000103,59.45.175.32,0.016915,0.86682,0.055754,0.513688,50070,0.760762,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000117,59.45.175.32,0.016915,0.86682,0.055754,0.513688,38485,0.581046,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000118,59.45.175.32,0.016915,0.86682,0.055754,0.513688,38485,0.581046,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000129,59.45.175.32,0.016915,0.86682,0.055754,0.513688,44900,0.680561,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.00013,140.206.77.100,0.937313,0.997887,0,0.545545,64866,0.990289,root,0,0,1,0.093379,China,Shanghai,0.297851,0.920214,0.320173,0.689216,0.140041,0.159619
2,16,0,0,0.000182,221.194.44.224,0.023881,0.878078,0.041039,0.429567,55284,0.841646,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000184,221.194.44.224,0.023881,0.878078,0.041039,0.429567,56077,0.853947,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000185,112.74.63.26,0.072637,0.914393,0.003908,0.079642,45252,0.686021,ubuntu,0.003951,0.819385,0.003765,0.399704,China,Hangzhou,0.654408,0.653018,0.051239,0.776394,0.214195,0.670021
